accession,disease,biospecimen,modality,case_label,control_label,source
PXD021718,Alzheimers,plasma,proteomics,case,control,pride
PXD022265,Alzheimers,plasma,proteomics,case,control,pride
PXD043728,Alzheimers,plasma,proteomics,case,control,pride
PXD013599,MS,whole_blood,proteomics,case,control,pride
PXD013630,MS,plasma,proteomics,case,control,pride
PXD015249,MS,serum,proteomics,case,control,pride
PXD028685,MS,serum,proteomics,case,control,pride
PXD028702,MS,pbmc,proteomics,case,control,pride
PXD035018,MS,pbmc,proteomics,case,control,pride
PXD038387,MS,plasma,proteomics,case,control,pride
PXD039467,MS,serum,proteomics,case,control,pride
PXD040101,MS,plasma,proteomics,case,control,pride
PXD040572,MS,pbmc,proteomics,case,control,pride
PXD041336,MS,whole_blood,proteomics,case,control,pride
PXD049036,MS,whole_blood,proteomics,case,control,pride
PXD020794,Parkinsons,plasma,proteomics,case,control,pride
PXD026439,Parkinsons,plasma,proteomics,case,control,iprox
PXD038555,Parkinsons,serum,proteomics,case,control,pride
PXD043732,Parkinsons,serum,proteomics,case,control,pride
PXD049990,Parkinsons,plasma,proteomics,case,control,pride
PXD051111,Parkinsons,plasma,proteomics,case,control,jpost
