sample,label
reporter intensity corrected 0,case
reporter intensity corrected 1,case
reporter intensity corrected 2,case
reporter intensity corrected 3,case
reporter intensity corrected 6,control
reporter intensity corrected 7,control
reporter intensity corrected 8,control
reporter intensity corrected 9,control
reporter intensity 0,case
reporter intensity 1,case
reporter intensity 2,case
reporter intensity 3,case
reporter intensity 6,control
reporter intensity 7,control
reporter intensity 8,control
reporter intensity 9,control
