source_collection	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	n_features_tested	strict_count	suggestive_count	exploratory_count	tiered_count	fdr_lt_0.05	fdr_lt_0.10	nominal_p_lt_0.05_abs_log2fc_ge_1	top_feature	top_gene	top_log2FC	top_p_value	top_FDR	method	caveat_flags	ontology_domain	ontology_parent	ontology_detail	domain_rank	context_rank	human_disease_scope	display_contrast	compact_label	ontology_cluster_order	cohort_number
all_primary_t7_limma	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	alzheimer_disease	Alzheimer disease	PXD021718	case	control	10	5	201	0	0	6	6	0	0	6	P35527	KRT9	2.38091897877688	0.0305986288904873	0.874776686512247	limma_trend_robust_row_median_imputed_after_strict_filter		Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	1	1	human	PXD021718 | case vs control	PXD021718\ncase>control	1	C01
all_primary_t7_limma	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	1529	0	23	0	23	379	493	0	P63104	YWHAZ	0.612841069270935	5.0983865385456105e-17	7.795433017436243e-14	limma_trend_robust_row_median_imputed_after_strict_filter		Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	1	1	human	PXD016278 | case vs control	PXD016278\ncase>control	2	C02
all_primary_t7_limma	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	parkinson_disease	Parkinson disease	PXD055996	case	control	40	40	1425	0	4	8	12	2	4	8	Q9NY72	SCN3B	-0.825197592866472	4.26327368232926e-05	0.030375824986596	limma_trend_robust_row_median_imputed_after_strict_filter		Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	1	2	human	PXD055996 | case vs control	PXD055996\ncase>control	3	C03
all_primary_t7_limma	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	multiple_sclerosis	MS	PXD050479	case	control	30	19	241	0	0	1	1	0	1	1	P29122	PCSK6	-0.454944904800612	0.000405980336019	0.0978412609805948	limma_trend_robust_row_median_imputed_after_strict_filter		Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	1	3	human	PXD050479 | case vs control	PXD050479\ncase>control	4	C04
all_primary_t7_limma	primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	multiple_sclerosis	Multiple sclerosis	PXD045058	case	control	267	321	2757	7	71	0	78	1039	1231	7	ITIH3	ITIH3	-0.721615090700304	3.25848373857502e-32	8.98363966725133e-29	limma_trend_robust_row_median_imputed_after_strict_filter	disease_control_not_healthy_control	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	1	3	human	PXD045058 | case vs control	PXD045058\ncase>control	5	C05
all_primary_t7_limma	primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	parkinson_disease	Parkinson disease	PXD038555	case	control	10	20	660	52	29	15	96	71	84	73	P02675	FGB	7.49450258745917	1.6895670627656105e-15	1.1151142614252998e-12	limma_trend_robust_row_median_imputed_after_strict_filter	comparator_only_not_healthy_control	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	1	2	human	PXD038555 | case vs control	PXD038555\ncase>control	6	C06
all_primary_t7_limma	primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	multiple_sclerosis	Multiple sclerosis	PXD032287	case	control	5	5	499	0	0	17	17	0	0	17	P02679	FGG	1.38926112666342	0.0023038887648377	0.239496657252072	limma_trend_robust_row_median_imputed_after_strict_filter		Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	1	3	human	PXD032287 | case vs control	PXD032287\ncase>control	7	C07
kidney_diabetes_moderated_20260709	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	635	0	0	21	21	0	0	21	Q14315	FLNC	-4.793820829205434	0.0202373658013092	0.7808891016452629	limma_like_empirical_bayes_moderated_t_20260709		Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	2	2	human	PXD054961 | T2DM vs PTDM	PXD054961\nT2DM>PTDM	8	C08
kidney_diabetes_moderated_20260709	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	625	1	2	29	32	1	3	32	Q9HAU5	UPF2	-1.6349333158753083	6.435761257629596e-05	0.0402235078601849	limma_like_empirical_bayes_moderated_t_20260709		Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	2	2	human	PXD054961 | T2DM vs NG	PXD054961\nT2DM>NG	9	C09
all_primary_t7_limma	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	652	1	3	22	26	1	4	25	P10646	TFPI	1.08549174537039	2.80302617770047e-05	0.0182757306786071	limma_trend_robust_row_median_imputed_after_strict_filter	kidney_transplant_population_not_general_diabetes	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	2	1	human	PXD054961 | case vs control	PXD054961\ncase>control	10	C10
all_primary_t7_limma	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	92	0	0	0	0	1	1	0	P10145	IL8	0.482437268942264	2.96146046510548e-05	0.002724543627897	limma_trend_robust_row_median_imputed_after_strict_filter		Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	2	1	human	PAD000040 | case vs control	PAD000040\ncase>control	11	C11
kidney_diabetes_moderated_20260709	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	631	0	0	34	34	0	0	34	Q9H254	SPTBN4	-2.9139776114866693	0.0008591466385365	0.1212443280580676	limma_like_empirical_bayes_moderated_t_20260709		Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	2	2	human	PXD054961 | PTDM vs NG	PXD054961\nPTDM>NG	12	C12
