marker	reference_log2FC	reference_direction	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	ontology_domain	ontology_parent	ontology_detail	human_disease_scope	detected	display_gene	feature_id	uniprot_id	protein_name	log2FC	p_value	FDR	abs_log2FC	tier	cohort_direction	direction_agreement	concordance_status
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	VWF	P04275	P04275		0.13206616317532	0.0464634699543875	0.130459384018479	0.13206616317532	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352		-0.0015850859132058	0.988083935722876	0.991976584189282	0.0015850859132058	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	C4B	P0C0L5	P0C0L5		0.095184538188775	0.141428030411078	0.279384313305606	0.095184538188775	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	CD44	H0Y5E4	H0Y5E4;H0YCV9;H0YD13;H0YDW7;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9		0.162383506370325	0.0480573701300216	0.133685738590107	0.162383506370325	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	ITIH3	Q06033	Q06033;Q06033-2		0.230648807422249	0.022704464753835	0.0751409666853112	0.230648807422249	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	LRG1	P02750	P02750		-0.238164758536016	0.0134263807256936	0.0529096291999627	0.238164758536016	not_tiered	down_in_case	same_direction	weak_same_direction
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	alzheimer_disease	Alzheimer disease	PXD016278	case	control	88	109	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	alzheimer_disease	Alzheimer disease	PXD021718	case	control	10	5	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	human	True	ACTG1	P63261	P63261|ACTG_HUMAN	Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1	0.830354457421446	0.278469412556293	0.874776686512247	0.830354457421446	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
