cohort_number	disease_domain	disease_ontology_parent	disease_ontology_detail	disease_or_context	study_accession	case_label	control_or_comparator_label	n_case	n_control_or_comparator	human_disease_scope	analysis_context	source_collection	de_method	cohort_caveat_flags	display_contrast	compact_label	contrast_id	marker	op_reference_log2FC_chronic_vs_control	op_reference_direction	marker_detected_in_external_cohort	external_display_gene	external_feature_id	external_uniprot_id	external_protein_name	external_log2FC_case_vs_control_or_comparator	external_p_value	external_FDR	external_abs_log2FC	external_de_tier	external_direction	direction_agreement_with_op_reference	concordance_status	n_total	result_label_for_summary	summary_sentence_fragment
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	ACTG1	-5.98	down_in_chronic	True	ACTG1	P63261	P63261|ACTG_HUMAN	Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1	0.830354457421446	0.278469412556293	0.874776686512247	0.830354457421446	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	ACTG1 had external log2FC=0.830354457421446 with FDR=0.874776686512247 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	DNAH9 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	GPX3 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	VWF	4.280000000000001	up_in_chronic	True	VWF	P04275	P04275|VWF_HUMAN	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	0.868938123662613	0.402753385267766	0.888552226286068	0.868938123662613	not_tiered	up_in_case	same_direction	weak_same_direction	15	Detected, same direction, weak/non-tiered	VWF had external log2FC=0.868938123662613 with FDR=0.888552226286068 in Alzheimer disease (PXD021718); status=weak_same_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	C4B	-4.150000000000002	down_in_chronic	True	C4B	P0C0L5	P0C0L5|CO4B_HUMAN	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	0.110749727930507	0.762358689902172	0.931622594880435	0.110749727930507	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	C4B had external log2FC=0.110749727930507 with FDR=0.931622594880435 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	CD44	1.5799999999999983	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	CD44 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	CFHR2	1.4699999999999989	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	CFHR2 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	ITIH3	-1.2100000000000009	down_in_chronic	True	ITIH3	Q06033	Q06033|ITIH3_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	0.303272306201993	0.729833429956804	0.930055292709534	0.303272306201993	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	ITIH3 had external log2FC=0.303272306201993 with FDR=0.930055292709534 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	LRG1	-1.7199999999999989	down_in_chronic	True	LRG1	P02750	P02750|A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2	-0.553242347120822	0.493373924057969	0.893406835456323	0.553242347120822	not_tiered	down_in_case	same_direction	weak_same_direction	15	Detected, same direction, weak/non-tiered	LRG1 had external log2FC=-0.553242347120822 with FDR=0.893406835456323 in Alzheimer disease (PXD021718); status=weak_same_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	MYH7B	-5.32	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	MYH7B was not detected or not mapped in Alzheimer disease (PXD021718).
