contrast_id	cohort_number	disease	accession	ontology_domain	figure_png	figure_pdf
primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	C01	Alzheimer disease	PXD021718	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C01_primary_curated_gate2_case_control_alzheimer_disease_PXD021718_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C01_primary_curated_gate2_case_control_alzheimer_disease_PXD021718_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	C02	Alzheimer disease	PXD016278	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C02_primary_curated_gate2_case_control_alzheimer_disease_PXD016278_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C02_primary_curated_gate2_case_control_alzheimer_disease_PXD016278_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	C03	Parkinson disease	PXD055996	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C03_primary_curated_gate2_case_control_parkinson_disease_PXD055996_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C03_primary_curated_gate2_case_control_parkinson_disease_PXD055996_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	C04	MS	PXD050479	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C04_primary_curated_gate2_case_control_multiple_sclerosis_PXD050479_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C04_primary_curated_gate2_case_control_multiple_sclerosis_PXD050479_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C05_primary_curated_gate2_case_control_multiple_sclerosis_PXD045058_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C05_primary_curated_gate2_case_control_multiple_sclerosis_PXD045058_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C06_primary_curated_gate2_case_control_parkinson_disease_PXD038555_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C06_primary_curated_gate2_case_control_parkinson_disease_PXD038555_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C07_primary_curated_gate2_case_control_multiple_sclerosis_PXD032287_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C07_primary_curated_gate2_case_control_multiple_sclerosis_PXD032287_case_vs_control_marker_pathway_proximity_map.pdf
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C08_PXD054961_serum_T2DM_vs_PTDM_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C08_PXD054961_serum_T2DM_vs_PTDM_marker_pathway_proximity_map.pdf
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C09_PXD054961_serum_T2DM_vs_NG_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C09_PXD054961_serum_T2DM_vs_NG_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C10_primary_curated_gate2_case_control_metabolic_dysfunction_PXD054961_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C10_primary_curated_gate2_case_control_metabolic_dysfunction_PXD054961_case_vs_control_marker_pathway_proximity_map.pdf
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C11_primary_curated_gate2_case_control_metabolic_dysfunction_PAD000040_case_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C11_primary_curated_gate2_case_control_metabolic_dysfunction_PAD000040_case_vs_control_marker_pathway_proximity_map.pdf
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C12_PXD054961_serum_PTDM_vs_NG_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C12_PXD054961_serum_PTDM_vs_NG_marker_pathway_proximity_map.pdf
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C13_subtype_sensitivity_ckd_stage_vs_nor_control_chronic_kidney_disease_PXD016433_ckd_stage_5_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C13_subtype_sensitivity_ckd_stage_vs_nor_control_chronic_kidney_disease_PXD016433_ckd_stage_5_vs_control_marker_pathway_proximity_map.pdf
primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	C14	Chronic kidney disease	PXD016433	Kidney/urinary	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C14_primary_ckd_all_vs_nor_control_chronic_kidney_disease_PXD016433_all_ckd_vs_control_marker_pathway_proximity_map.png	op_external_validation/results/de_visualization_hub_network/marker10_integrated_disease_context_v2_20260709/figures/panel_C_disease_marker_proximity_maps/C14_primary_ckd_all_vs_nor_control_chronic_kidney_disease_PXD016433_all_ckd_vs_control_marker_pathway_proximity_map.pdf
