marker	role_label	category	term	description	fdr	is_member	role_code
ACTG1	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
VWF	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
DNAH9	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
GPX3	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
C4B	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
CD44	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
CFHR2	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
ITIH3	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
LRG1	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
MYH7B	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
ACTG1	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
VWF	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
DNAH9	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
GPX3	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
C4B	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
CD44	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
CFHR2	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
ITIH3	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
LRG1	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
MYH7B	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
ACTG1	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
VWF	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
DNAH9	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	False	R3
GPX3	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
C4B	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
CD44	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
CFHR2	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
ITIH3	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
LRG1	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
MYH7B	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	False	R3
ACTG1	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
VWF	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
DNAH9	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
GPX3	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
C4B	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
CD44	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
CFHR2	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
ITIH3	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
LRG1	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
MYH7B	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
ACTG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
VWF	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
DNAH9	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
GPX3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
C4B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CD44	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CFHR2	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
ITIH3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
LRG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
MYH7B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
