category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	fdr_num	role_label	role_code
COMPARTMENTS	GOCC:0065010	6	473	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,C4B,ACTG1	3.86e-08	8.89e-05	Extracellular membrane-bounded organelle	8.89e-05	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	R1
COMPARTMENTS	GOCC:1903561	6	500	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,C4B,ACTG1	5.35e-08	8.89e-05	Extracellular vesicle	8.89e-05	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	R2
COMPARTMENTS	GOCC:0005576	8	2079	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000356385,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,CFHR2,GPX3,CD44,ITIH3,C4B,ACTG1	5.77e-07	0.00033	Extracellular region	0.00033	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	R3
COMPARTMENTS	GOCC:0070062	5	428	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,ACTG1	1.15e-06	0.00053	Extracellular exosome	0.00053	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	R4
COMPARTMENTS	GOCC:0005615	6	1027	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,C4B,ACTG1	3.58e-06	0.0014	Extracellular space	0.0014	COMPARTMENTS: Extracellular space (FDR 0.001)	R5
COMPARTMENTS	GOCC:0031982	7	2125	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,ITIH3,C4B,ACTG1	1.53e-05	0.005	Vesicle	0.005	COMPARTMENTS: Vesicle (FDR 0.005)	R6
COMPARTMENTS	GOCC:0099569	2	11	9606	9606.ENSP00000373477,9606.ENSP00000458162	GPX3,ACTG1	1.8e-05	0.0052	Presynaptic cytoskeleton	0.0052	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	R7
Component	GO:0005576	9	4175	9606	9606.ENSP00000261405,9606.ENSP00000262442,9606.ENSP00000302621,9606.ENSP00000356385,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000458162	VWF,DNAH9,LRG1,CFHR2,GPX3,CD44,ITIH3,C4B,ACTG1	7.04e-06	0.0144	Extracellular region	0.0144	Component: Extracellular region (FDR 0.014)	R8
Component	GO:0005615	8	3247	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000356385,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,CFHR2,GPX3,CD44,ITIH3,C4B,ACTG1	1.8e-05	0.0144	Extracellular space	0.0144	Component: Extracellular space (FDR 0.014)	R9
Component	GO:0070062	7	2096	9606	9606.ENSP00000261405,9606.ENSP00000302621,9606.ENSP00000373477,9606.ENSP00000398632,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000458162	VWF,LRG1,GPX3,CD44,ITIH3,C4B,ACTG1	1.4e-05	0.0144	Extracellular exosome	0.0144	Component: Extracellular exosome (FDR 0.014)	R10
KEGG	hsa04610	3	82	9606	9606.ENSP00000261405,9606.ENSP00000356385,9606.ENSP00000415941	VWF,CFHR2,C4B	9.09e-06	0.0031	Complement and coagulation cascades	0.0031	KEGG: Complement and coagulation cascades (FDR 0.003)	R11
